Date,17-MAR-2027,26-APR-2049,18-APR-2037,27-MAR-2050
"as @ Thursday, June 11, 2020",128.02,120.2,,
"as @ Monday, June 15, 2020",128.02,120.2,,
"as @ Tuesday, June 16, 2020",128.56,120.2,,
"as @ Wednesday, June 17, 2020",128.56,120.2,,
"as @ Thursday, June 18, 2020",130.54,121.7,,
"as @ Friday, June 19, 2020",130.54,122.7,,
"as @ Monday, June 22, 2020",130.54,126.44,,
"as @ Tuesday, June 23, 2020",132.19,128.23,,
"as @ Wednesday, June 24, 2020",132.19,128.23,,
"as @ Thursday, June 25, 2020",134.06,128.4,,
"as @ Friday, June 26, 2020",137.63,130.03,,
"as @ Monday, June 29, 2020",140.13,132.76,,
"as @ Tuesday, June 30, 2020",140.13,132.76,,
"as @ Wednesday, July 1, 2020",140.87,132.76,,
"as @ Thursday, July 2, 2020",141.6,132.76,,
"as @ Friday, July 3, 2020",141.6,135.2,,
"as @ Monday, July 6, 2020",141.6,133.25,,
"as @ Tuesday, July 7, 2020",141.6,133.25,,
"as @ Wednesday, July 8, 2020",141.51,135.44,,
"as @ Thursday, July 9, 2020",141.51,134.05,,
"as @ Friday, July 10, 2020",141.51,134.05,,
"as @ Monday, July 13, 2020",141.51,135.2,,
"as @ Tuesday, July 14, 2020",141.51,135.2,,
"as @ Wednesday, July 15, 2020",141.22,135.2,,
"as @ Thursday, July 16, 2020",141.1,136.41,,
"as @ Friday, July 17, 2020",141.0,138.21,,
"as @ Monday, July 20, 2020",141.0,138.21,151.31,
"as @ Tuesday, July 21, 2020",142.75,138.16,151.31,
"as @ Wednesday, July 22, 2020",142.09,139.11,151.31,122.3
"as @ Thursday, July 23, 2020",142.09,149.38,151.31,132.23
"as @ Friday, July 24, 2020",142.09,149.21,160.26,131.34
"as @ Monday, July 27, 2020",150.36,150.41,160.26,132.5
"as @ Tuesday, July 28, 2020",150.36,148.81,160.26,130.96
"as @ Wednesday, July 29, 2020",150.36,148.74,159.5,130.95
"as @ Monday, August 3, 2020",146.0,147.0,155.98,129.54
"as @ Tuesday, August 4, 2020",146.0,140.02,145.0,123.67
"as @ Wednesday, August 5, 2020",146.0,141.33,145.0,124.94
"as @ Thursday, August 6, 2020",146.0,143.09,145.0,126.65
"as @ Friday, August 7, 2020",142.5,139.54,152.0,122.66
"as @ Monday, August 10, 2020",144.58,145.71,152.0,128.61
"as @ Tuesday, August 11, 2020",142.98,146.28,154.73,128.95
"as @ Wednesday, August 12, 2020",143.73,146.35,154.96,129.0
"as @ Thursday, August 13, 2020",144.73,146.2,156.69,128.72
"as @ Friday, August 14, 2020",142.95,146.55,156.69,129.05
"as @ Monday, August 17, 2020",143.37,146.57,156.69,129.08
"as @ Tuesday, August 18, 2020",143.37,146.57,156.69,129.08
"as @ Wednesday, August 19, 2020",144.52,146.35,152.97,129.16
"as @ Thursday, August 20, 2020",142.96,145.03,152.39,127.93
"as @ Friday, August 21, 2020",143.05,145.03,152.39,127.93
"as @ Monday, August 24, 2020",143.05,145.03,152.39,127.93
"as @ Tuesday, August 25, 2020",143.05,144.38,152.39,127.3
"as @ Wednesday, August 26, 2020",143.05,143.5,150.4,126.61
"as @ Thursday, August 27, 2020",143.05,144.38,150.4,127.46
"as @ Friday, August 28, 2020",140.95,144.38,149.34,127.55
"as @ Monday, August 31, 2020",140.95,144.38,149.34,127.55
"as @ Tuesday, September 1, 2020",141.36,147.2,149.34,130.29
"as @ Wednesday, September 2, 2020",141.0,147.2,149.29,130.29
"as @ Thursday, September 3, 2020",141.0,144.25,149.73,127.39
"as @ Friday, September 4, 2020",141.0,144.13,149.73,127.27
"as @ Monday, September 7, 2020",143.45,144.39,151.22,127.41
